Shrt_Desc,Water_(g),Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Vit_A(g),Calcium_(g),Iron_(g),Magnesium_(g),Phosphorus_(g),Potassium_(g),Sodium_(g),Zinc_(g),Copper_g),Manganese_(g),Selenium_(g),Vit_C_(g),Thiamin_(g),Riboflavin_(g),Niacin_(g),Panto_Acid_g),Vit_B6_(g),Folate_Tot_(g),Folic_Acid_(g),Food_Folate_(g),Choline_Tot_ (g),Vit_B12_(g),Retinol_(g),Alpha_Carot_(g),Beta_Carot_(g),Beta_Crypt_(g),Lycopene_(g),Lut+Zea_ (g),Vit_E_(g),Vit_D_g,Vit_K_(g),Cholestrl_(g),Energ_Kcal
"BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY",4.7,12.0,6.0,3.9,73.4,5.2,13.75,1.267,1.429,2.186,0.000207,0.651,0.0475,0.118,0.444,0.731,0.006,0.0019,0.000391,,0.000205,0.0047,0.0036,0.0037099999999999998,0.02011,,0.000423,0.00019,0.0,0.00019,0.0287,2.2e-06,0.0,0.00027,0.00028,0.0,0.0,0.00157,0.005,0.0,3e-05,0.0,393
"HEARTS OF PALM,CANNED",90.2,2.52,0.62,2.04,4.62,2.4,,0.13,0.103,0.202,0.0,0.058,0.00313,0.038,0.065,0.177,0.426,0.00115,0.000133,0.0013939999999999998,7e-06,0.0079,1.1e-05,5.7e-05,0.000437,0.000126,2.2e-05,0.00039,0.0,0.00039,,0.0,0.0,,,,,,,0.0,,0.0,28
"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR",63.89,24.06,11.09,1.56,0.0,0.0,0.0,2.866,4.878,1.673,0.000135,0.013,0.0009699999999999999,0.021,0.217,0.264,0.337,0.0020099999999999996,8.400000000000001e-05,1.7999999999999997e-05,0.00027,0.0,5.5e-05,0.00023300000000000003,0.0054329999999999995,0.001262,0.000176,0.00012,0.0,0.00012,0.0679,4.5e-06,0.00013,0.0,0.0,0.0,0.0,0.0,0.00025,,0.0,0.13,196
"PORK,CURED,SHLDR,ARM PICNIC,LN&FAT,RSTD",54.73,20.43,21.35,3.51,0.0,0.0,0.0,7.67,10.14,2.32,0.0,0.01,0.00095,0.014,0.221,0.258,1.072,0.0025099999999999996,0.00011300000000000001,2.4e-05,0.00033600000000000004,0.0,0.000612,0.00019,0.004127,0.000559,0.00028000000000000003,3e-05,0.0,3e-05,0.0798,9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00023999999999999998,7e-06,0.0,0.058,280
"VINEGAR,DISTILLED",94.78,0.0,0.0,0.02,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.006,2.9999999999999997e-05,0.001,0.004,0.002,0.002,1e-05,6e-06,5.5e-05,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
"BEEF,NZ,IMP,TENDERLOIN,LN & FAT,RAW",71.18,21.04,6.88,1.04,0.0,0.0,0.0,2.788,2.032,0.268,9e-05,0.004,0.00218,0.024,0.203,0.359,0.039,0.00232,0.000102,1.2e-05,4.2999999999999995e-05,0.0,5.5e-05,0.000118,0.0040149999999999995,0.000569,0.000264,,,,,1.76e-05,9e-05,0.0,0.0,0.0,0.0,0.0,0.0005899999999999999,1e-06,,0.058,146
"MUFFINS,BLUEBERRY,PREP FROM RECIPE,MADE W/LOFAT (2%) MILK",39.5,6.5,10.8,2.5,40.7,,,2.03,2.596,5.388,0.000423,0.189,0.00227,0.016,0.145,0.123,0.441,0.00054,7.099999999999999e-05,0.000312,0.000171,0.0015,0.000272,0.000289,0.002211,0.00034100000000000005,4.2999999999999995e-05,0.00048,0.00036,0.00012,,1.4000000000000001e-06,0.00037,,,,,,,,,0.037,285
PHYLLO DOUGH,32.6,7.1,6.0,1.6,52.6,1.9,0.18,1.47,3.149,0.923,0.0,0.011,0.00321,0.015,0.075,0.074,0.483,0.00049,0.000101,0.00047599999999999997,0.000233,0.0,0.000541,0.00034100000000000005,0.004073,0.00030199999999999997,2.9999999999999997e-05,0.00088,0.0007,0.00018,0.006900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00011,8e-05,0.0,2.5e-05,0.0,299
"TURKEY,LT OR DK MEAT,SMOKED,CKD,W/SKN,BONE REMOVED",61.7,28.1,9.7,0.5,0.0,0.0,0.0,2.831,3.18,2.473,0.0,0.026,0.0017900000000000001,0.025,0.203,0.28,0.996,0.00296,9.3e-05,,0.000303,0.0,5.9999999999999995e-05,0.00017999999999999998,0.00509,,0.00041,7e-05,0.0,7e-05,0.0699,3.5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.082,208
"CEREALS RTE,QUAKER,SHREDDED WHEAT,BAGGED CRL",4.2,11.24,2.01,1.54,81.01,11.8,0.81,0.405,0.304,1.216,0.0,0.045,0.00333,0.172,0.362,0.358,0.004,0.00254,,,,0.0,0.00022600000000000002,0.00010499999999999999,0.00524,,0.000256,0.00051,0.0,0.00051,,0.0,,,,,,,0.0,0.0,,0.0,348
